uniq_id,product_name,product_description,category,rating,is_trending,is_best_seller,search_term,price
PROD-210,Asus ROG Phone 8 Pro,The ultimate premium smartphone engineered for high-end mobile gamers.,Mobile,4.7,1,0,Asus ROG Phone 8 Pro smartphone,94999
PROD-301,Razer BlackWidow V3 Gaming Keyboard,Mechanical gaming keyboard with RGB backlighting and tactile green switches.,Computing,4.7,1,1,Razer BlackWidow V3 gaming keyboard,11999
PROD-302,Corsair K70 RGB Pro Gaming Keyboard,Premium aluminum mechanical gaming keyboard with Cherry MX switches.,Computing,4.8,0,1,Corsair K70 RGB Pro gaming keyboard,14599
PROD-303,SteelSeries Apex Pro TKL Gaming Keyboard,Tenkeyless esports keyboard with adjustable OmniPoint switches.,Computing,4.9,1,0,SteelSeries Apex Pro TKL gaming keyboard,18999
PROD-304,Logitech G Pro X Gaming Keyboard,Compact mechanical keyboard designed with pro gamers in mind.,Computing,4.6,0,0,Logitech G Pro X gaming keyboard,12499
PROD-305,HyperX Alloy Origins Gaming Keyboard,Durable mechanical keyboard with custom HyperX switches and brilliant RGB.,Computing,4.7,0,0,HyperX Alloy Origins gaming keyboard,8999
PROD-306,Roccat Vulcan II Max Gaming Keyboard,Incredibly gorgeous visual gaming keyboard featuring dual LED switches.,Computing,4.5,1,0,Roccat Vulcan II Max gaming keyboard,16999
PROD-307,Keychron Q1 Pro Custom Gaming Keyboard,A heavy enthusiast-grade wireless aluminum mechanical gaming keyboard.,Computing,4.8,0,0,Keychron Q1 Pro gaming keyboard,15499
PROD-308,Wooting 60HE Gaming Keyboard,Analog esports gaming keyboard offering absolute competitive advantages.,Computing,4.9,1,1,Wooting 60HE gaming keyboard,21000
PROD-309,Razer Huntsman V3 Pro Gaming Keyboard,Rapid trigger gaming keyboard focusing on absolute speed.,Computing,4.7,0,0,Razer Huntsman V3 Pro gaming keyboard,19999
PROD-310,Asus ROG Azoth Gaming Keyboard,Gasket-mount 75% custom gaming keyboard with an OLED panel.,Computing,4.8,1,0,Asus ROG Azoth gaming keyboard,24999
PROD-401,Sony WH-1000XM5 Wireless Headphones,Industry-leading noise canceling over-ear headphones with auto NC optimizer.,Audio,4.8,1,1,Sony WH-1000XM5 wireless headphones,29990
PROD-402,Bose QuietComfort Ultra Headphones,World-class noise cancellation headphones for pure concentration and deep bass.,Audio,4.7,0,1,Bose QuietComfort Ultra headphones,35900
PROD-403,Apple AirPods Max,The pinnacle of over-ear headphones with high-fidelity audio and spatial sound.,Audio,4.6,1,0,Apple AirPods Max headphones,54900
PROD-404,Sennheiser Momentum 4 Headphones,Premium sound quality wireless over-ear headphones with a 60-hour battery life.,Audio,4.5,0,0,Sennheiser Momentum 4 headphones,26990
PROD-405,Skullcandy Crusher Evo Headphones,Bass-heavy sensory wireless headphones with personal sound profiling.,Audio,4.4,0,0,Skullcandy Crusher Evo headphones,14999
PROD-406,Beats Studio Pro Headphones,Iconic over-ear wireless headphones focusing on Apple system integration.,Audio,4.5,0,1,Beats Studio Pro headphones,28990
PROD-407,Focal Bathys Wireless Headphones,Audiophile-grade wireless Bluetooth headphones redefining luxury listening.,Audio,4.9,0,0,Focal Bathys headphones,69000
PROD-408,Bowers & Wilkins Px8 Headphones,Extremely luxurious over-ear headphones made with die-cast aluminum.,Audio,4.8,0,0,Bowers & Wilkins Px8 headphones,62000
PROD-409,JBL Tour One M2 Headphones,Excellent adaptive noise cancellation headphones with superb microphone quality.,Audio,4.6,1,0,JBL Tour One M2 headphones,19999
PROD-410,Anker Soundcore Space Q45 Headphones,Amazing value active noise cancelling headphones with incredibly long battery life.,Audio,4.7,1,1,Anker Soundcore Space Q45 headphones,9999
PROD-501,Apple AirPods Pro (2nd Gen),Premium active noise cancelling true wireless earbuds with immersive spatial audio.,Audio,4.8,0,1,Apple AirPods Pro earbuds,24900
PROD-502,Sony WF-1000XM5 Earbuds,Truly wireless noise cancelling earbuds with sleek design and rich sound.,Audio,4.7,1,0,Sony WF-1000XM5 earbuds,24990
PROD-503,Samsung Galaxy Buds2 Pro,True wireless Bluetooth earbuds with intelligent active noise cancellation.,Audio,4.6,0,1,Samsung Galaxy Buds2 Pro earbuds,16999
PROD-504,Bose QuietComfort Earbuds II,Personalized noise cancellation earbuds with lifelike sound.,Audio,4.6,0,0,Bose QuietComfort Earbuds II,22900
PROD-505,Jabra Elite 8 Active Earbuds,Ultra-durable active earbuds designed for intense workouts and secure fit.,Audio,4.5,0,0,Jabra Elite 8 Active earbuds,17999
PROD-506,Beats Fit Pro Earbuds,Secure-fit wireless earbuds tailored for active athletes.,Audio,4.6,0,1,Beats Fit Pro earbuds,18990
PROD-507,Sennheiser Momentum True Wireless 3,Incredible sound quality earbuds meant for uncompromising audio lovers.,Audio,4.7,0,0,Sennheiser Momentum 3 earbuds,21990
PROD-508,Nothing Ear 2 Buds,Transparent aesthetic earbuds offering a truly personalized sound engine.,Audio,4.5,1,0,Nothing Ear 2 earbuds,12999
PROD-509,Google Pixel Buds Pro,Seamlessly integrated Google earbuds featuring spatial audio.,Audio,4.5,0,0,Google Pixel Buds Pro earbuds,16990
PROD-510,Anker Soundcore Liberty 4 Earbuds,In-ear heartbeat monitoring earbuds with crisp spatial clarity.,Audio,4.6,1,1,Anker Soundcore Liberty 4 earbuds,8999
PROD-701,Logitech MX Master 3S Wireless Mouse,Performance wireless office mouse with silent clicks and MagSpeed scrolling.,Computing,4.9,0,1,Logitech MX Master 3S wireless mouse,9495
PROD-702,Apple Magic Keyboard,Sleek wireless office keyboard with rechargeable battery for Mac.,Computing,4.8,0,0,Apple Magic keyboard,9500
PROD-703,Lenovo ThinkPad X1 Carbon,Legendary business laptop with ultra-light carbon fiber chassis and long battery.,Computing,4.7,0,0,Lenovo ThinkPad laptop,135000
PROD-704,Dell XPS 15 Laptop,Premium Windows business laptop with InfinityEdge display.,Computing,4.8,1,0,Dell XPS 15 laptop,145000
PROD-705,MacBook Pro 14 M3,Extreme performance for professionals with Liquid Retina.,Computing,4.9,1,1,MacBook Pro 14 laptop,169900
PROD-706,Microsoft Surface Laptop 5,"Elegant, super-light touchscreen office laptop meant for quick mobility.",Computing,4.5,0,0,Microsoft Surface Laptop 5,98900
PROD-707,Logitech MX Keys S Keyboard,Quietly precise wireless illuminated office keyboard engineered for coders.,Computing,4.8,0,1,Logitech MX Keys S Keyboard,11500
PROD-708,LG UltraFine 4K Display,Crisp 4K office monitor designed for creative professionals.,Computing,4.6,0,0,LG UltraFine 4K monitor,45000
PROD-709,HP Spectre x360 Laptop,Stunning 2-in-1 office laptop with a precision touch screen.,Computing,4.7,1,0,HP Spectre x360 laptop,125000
PROD-710,Apple Studio Display,Immersive 27-inch 5K Retina office monitor featuring center stage camera.,Computing,4.8,0,0,Apple Studio Display monitor,159900
PROD-801,Samsung Galaxy Watch 6,Sleek smartwatch with advanced health monitoring and sleep tracking.,Accessories,4.6,1,0,Samsung Galaxy Watch 6 smartwatch,24999
PROD-802,Apple Watch Series 9,Advanced health sensors and a brighter smartwatch display.,Accessories,4.8,1,1,Apple Watch Series 9 smartwatch,41900
PROD-803,Garmin Fenix 7 Pro,Ultimate multisport GPS smartwatch with solar charging.,Accessories,4.7,0,0,Garmin Fenix 7 Pro smartwatch,75990
PROD-804,Google Pixel Watch 2,Helpful Google smartwatch experiences right on your wrist.,Accessories,4.5,0,0,Google Pixel Watch 2 smartwatch,34999
PROD-805,Fitbit Charge 6,Advanced fitness tracker and smartwatch with Google apps.,Accessories,4.4,0,1,Fitbit Charge 6 smartwatch,14999
PROD-806,Amazfit GTR 4,Affordable fitness smartwatch carrying a ridiculously vast battery tank.,Accessories,4.5,1,0,Amazfit GTR 4 smartwatch,15999
PROD-807,Apple Watch Ultra 2,The most rugged extreme sports smartwatch Apple has ever launched.,Accessories,4.9,1,0,Apple Watch Ultra 2 smartwatch,89900
PROD-808,Garmin Venu 3,Lifestyle-focused GPS smartwatch built to help achieve health goals.,Accessories,4.6,0,0,Garmin Venu 3 smartwatch,45990
PROD-809,OnePlus Watch 2,Dual-engine architecture smartwatch providing incredible performance and battery.,Accessories,4.4,0,0,OnePlus Watch 2 smartwatch,24999
PROD-810,Mobvoi TicWatch Pro 5,WearOS smartwatch housing dual-display technology for unmatched endurance.,Accessories,4.3,0,0,Mobvoi TicWatch Pro 5 smartwatch,32999
